website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Ajio,Fuback X AG Pink & Cream Women Floral Print Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20251217/S73c/69420f328945db77cf36faf7/fuback_x_ag_pink_%26_cream_women_floral_print_regular_fit_shirt.jpg,Fuback X AG,Women,Shirts,306,1999,83,,,XXL,Pink,Regular Fit,,,Floral,"Fuback X AG Pink & Cream Women Floral Print Regular Fit Shirt. Brand: Fuback X AG. Color: Pink. Fit: Regular Fit. Pattern: Floral. Size: XXL. Category: Women, Shirts",InStock,,https://www.ajio.com/fuback-x-ag-women-floral-print-regular-fit-shirt/p/702629098_pink,2026-06-26T12:13:00.063541+00:00
Ajio,GUFRINA Blue Women Regular Fit Tribal Print Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root/20250519/71WZ/682b18097a6cd4182f3a0c49/gufrina_blue_women_regular_fit_tribal_print_shirt_with_spread_collar.jpg,GUFRINA,Women,Shirts,400,1999,73,,,L,Blue,Regular Fit,,,,"GUFRINA Blue Women Regular Fit Tribal Print Shirt with Spread Collar. Brand: GUFRINA. Color: Blue. Fit: Regular Fit. Size: L. Category: Women, Shirts",InStock,,https://www.ajio.com/gufrina-women-regular-fit-tribal-print-shirt-with-spread-collar/p/701589253_blue,2026-06-26T12:13:00.063541+00:00
Ajio,MICORIA Teal Green Women Relaxed Fit Floral Shirt,https://assets.ajio.com/medias/sys_master/root1/20260120/dPWh/696e84ed7ef0c7385c7c4d61/micoria_teal_green_women_relaxed_fit_floral_shirt.jpg,MICORIA,Women,Shirts,420,1874,68,,,XXL,Teal,Relaxed Fit,,,Floral,"MICORIA Teal Green Women Relaxed Fit Floral Shirt. Brand: MICORIA. Color: Teal. Fit: Relaxed Fit. Pattern: Floral. Size: XXL. Category: Women, Shirts",InStock,,https://www.ajio.com/micoria-women-relaxed-fit-floral-shirt/p/702772756_teal,2026-06-26T12:13:00.063541+00:00
Ajio,Zummer Black Women Embroidered Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260413/KxGZ/69dce12614d0c217196b2870/zummer_black_women_embroidered_regular_fit_shirt.jpg,Zummer,Women,Shirts,664,2899,67,,,,Black,Regular Fit,,,Embroidered,"Zummer Black Women Embroidered Regular Fit Shirt. Brand: Zummer. Color: Black. Fit: Regular Fit. Pattern: Embroidered. Category: Women, Shirts. 4.2K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/zummer-women-embroidered-regular-fit-shirt/p/703324133_black,2026-06-26T12:13:00.063541+00:00
Ajio,YOUSTA Olive Women Printed Regular Fit Cotton Shirt,https://assets.ajio.com/medias/sys_master/root1/20250925/cr7n/68d4f1db3d468c61ab2445eb/yousta_olive_women_printed_regular_fit_cotton_shirt.jpg,YOUSTA,Women,Shirts,210,599,50,,,,Olive,Regular Fit,Cotton,,Printed,"YOUSTA Olive Women Printed Regular Fit Cotton Shirt. Brand: YOUSTA. Color: Olive. Fit: Regular Fit. Fabric: Cotton. Pattern: Printed. Category: Women, Shirts. 776 shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/yousta-women-printed-regular-fit-cotton-shirt/p/443089216_olive,2026-06-26T12:13:00.063541+00:00
Ajio,RIO Ecru Women Checked Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260331/9A55/69cb2be29e784a25d5a60c9c/rio_ecru_women_checked_slim_fit_shirt.jpg,RIO,Women,Shirts,213,599,29,,,,Ecru,Slim Fit,,,Checkered,"RIO Ecru Women Checked Slim Fit Shirt. Brand: RIO. Color: Ecru. Fit: Slim Fit. Pattern: Checkered. Category: Women, Shirts",InStock,,https://www.ajio.com/rio-women-checked-slim-fit-shirt/p/443116277_ecru,2026-06-26T12:13:00.063541+00:00
Ajio,LEIA Navy Blue Women Boxy Fit Geometric Print Shirt with Cuban Collar,https://assets.ajio.com/medias/sys_master/root1/20251011/eUyf/68e9b6243d468c61ab5aa5a2/leia_navy_blue_women_boxy_fit_geometric_print_shirt_with_cuban_collar.jpg,LEIA,Women,Shirts,152,722,70,,,XS,Navy,Boxy Fit,,,,"LEIA Navy Blue Women Boxy Fit Geometric Print Shirt with Cuban Collar. Brand: LEIA. Color: Navy. Fit: Boxy Fit. Size: XS. Category: Women, Shirts",InStock,,https://www.ajio.com/leia-women-boxy-fit-geometric-print-shirt-with-cuban-collar/p/702383519_navy,2026-06-26T12:13:00.063541+00:00
Ajio,V-MART Green Women Floral Print Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260422/gCnh/69e8b5a4fcb5bb61d27437e5/v-mart_green_women_floral_print_regular_fit_shirt.jpg,V-MART,Women,Shirts,188,299,10,,,,Green,Regular Fit,,,Floral,"V-MART Green Women Floral Print Regular Fit Shirt. Brand: V-MART. Color: Green. Fit: Regular Fit. Pattern: Floral. Category: Women, Shirts",InStock,,https://www.ajio.com/v-mart-women-floral-print-regular-fit-shirt-/p/703359463_green,2026-06-26T12:13:00.063541+00:00
Ajio,Biba White Women Floral Print Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20250128/Np3S/6798cf792960820c49424a29/biba_white_women_floral_print_relaxed_fit_shirt.jpg,Biba,Women,Shirts,769,1999,45,,,,White,Relaxed Fit,,,Floral,"Biba White Women Floral Print Relaxed Fit Shirt. Brand: Biba. Color: White. Fit: Relaxed Fit. Pattern: Floral. Category: Women, Shirts",InStock,,https://www.ajio.com/biba-women-floral-print-relaxed-fit-shirt/p/469722182_white,2026-06-26T12:13:00.063541+00:00
Ajio,Zummer Blue Women Embroidered Regular Fit Spread-Collar Shirt,https://assets.ajio.com/medias/sys_master/root1/20260427/9huY/69ef52e8fcb5bb61d284cfd1/zummer_blue_women_embroidered_regular_fit_spread-collar_shirt.jpg,Zummer,Women,Shirts,594,2899,71,,,,Blue,Regular Fit,,,Embroidered,"Zummer Blue Women Embroidered Regular Fit Spread-Collar Shirt. Brand: Zummer. Color: Blue. Fit: Regular Fit. Pattern: Embroidered. Category: Women, Shirts",InStock,,https://www.ajio.com/zummer-women-embroidered-regular-fit-spread-collar-shirt/p/703379321_blue,2026-06-26T12:13:00.063541+00:00
