website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Myntra,Femibazaar Women Relaxed Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/JULY/27/zmoE3v1g_aff883499ea54188baa379437e373d39.jpg",Femibazaar,Apparel,Shirts,449,1599,72,4,2594,"S, M, L, XL",Pink,Oversized,Polycotton,Long Sleeves,Striped,"Color &amp; Pattern: The shirt is predominantly pink with thin white vertical stripes, creating a classic striped pattern. Style: It appears to be an oversized or relaxed-fit button-down shirt, commonly referred to as a ""poplin shirt"" in similar styles.&nbsp; Collar: The shirt features a traditional shirt collar Sleeves: It has long sleeves with buttoned cuffs, typical of a classic button-down shirt.&nbsp; Closure: The front closure is a full button-up design Brand Fit: Relaxed Fit: Oversized The model (height 5'8) is wearing a size S Gentle Machine Wash Wash care: Machine Wash",InStock,THE GOLDEN SEW,https://www.myntra.com/Shirts/Femibazaar/Femibazaar-Women-Relaxed-Striped-Casual-Shirt/36037624/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Roadster The Life Co. Notched Lapel Collar Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/27068784/2024/5/6/1f06faeb-cf92-4643-895d-31c3e74870e21714996840557-Roadster-Women-Shirts-3591714996840054-1.jpg",Roadster,Apparel,Shirts,369,999,63,4.1,1914,"XS, S, M, L, XL, XXL",Green,Regular Fit,Viscose Rayon,Long Sleeves,Solid,"Green solid casual shirt, has a notched lapel collar, button placket, long cuffed sleeves, and a curved hem Fit: Regular Fit The model (height 58) is wearing a size S 100% Viscose Machine wash Wash care: Machine Wash",InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Roadster/Roadster-The-Life-Co-Notched-Lapel-Collar-Shirt/27068784/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Zyla Women Solid Oversized Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/APRIL/27/kOhy1XBS_036a8cd5bd254061803651c7ff4f3870.jpg",Zyla,Apparel,Shirts,459,2199,79,4,312,"S/M, M/L, L/XL",Green,Oversized,Cotton,Long Sleeves,Solid,"Green Solid Semi Sheer Casual shirts ,has a Spread Collar, Button Placket, 1 Patch pocket, Long Regular Sleeves, Curved hem Brand Fit: Relaxed Fit: Oversized The model (height 5'8) is wearing a size S white oversized cotton shirt for women Regular Machine Wash Wash care: Machine Wash",InStock,SHAGUN CREATIONS,https://www.myntra.com/Shirts/Zyla/Zyla-Women-Solid-Oversized-Shirt/41669821/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Roadster Striped Oversized Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/30256918/2024/10/4/e25c6849-e3e3-4942-855c-bf5c47cc722e1728018954402-Womens-Oversize-Long-Sleeve-Seersucker-Stripe-Shirt-57517280-1.jpg",Roadster,Apparel,Shirts,599,1799,67,4.4,19139,"XS, S, M, L, XL",White,Oversized,Cotton,Long Sleeves,Striped,"White vertical stripes striped opaque Casual shirt ,has a spread collar, snap button placket, 1 patch pocket, long regular sleeves, curved hem Fit: Oversized The model (height 5'8) is wearing a size S 100% COTTON Machine Wash Wash care: Machine Wash",InStock,FRACTAL INDUSTRIES LIMITED,https://www.myntra.com/Shirts/Roadster/Roadster-Striped-Oversized-Casual-Shirt/30256918/buy,2026-06-26T05:32:19.624356+00:00
Myntra,U.S. Polo Assn. Women Spread Collar Cotton Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/AUGUST/11/ai0X39Sg_7f433b6b66374b2993beba1a641aade2.jpg",U.S. Polo Assn. Women,Apparel,Shirts,1319,1999,34,4.5,307,"S, M, L, XL",Black,Regular Fit,Cotton,Long Sleeves,Solid,"Black solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem Fit: Regular Fit The model (height 5'8) is wearing a size S 100% Cotton Machine wash Wash care: Machine Wash",InStock,ARVIND LIFESTYLE BRANDS LIMITED - SJIT,https://www.myntra.com/Shirts/U.S.+Polo+Assn.+Women/US-Polo-Assn-Women-Spread-Collar-Cotton-Shirt/36337369/buy,2026-06-26T05:32:19.624356+00:00
Myntra,J Turritopsis Women Cotton Embroidered Button Down Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/APRIL/29/y12qgE1a_313fd94d7d444886a4024b262c8e18ba.jpg",J Turritopsis,Apparel,Shirts,566,1399,60,4.5,106,"S, M, L, XL, XXL",Coffee Brown,Regular Fit,Cotton,Sleeveless,Solid,"Coffee Brown Solid Opaque Casual shirts ,has a Spread Collar, Button Placket, Sleeveless No Sleeves, Straight hem Brand Fit: Comfort Fit: Regular Fit The model (height 5'8) is wearing a size S Cotton|Hand Wash Wash care: Hand Wash",InStock,J TURRITOPSIS,https://www.myntra.com/Shirts/J+Turritopsis/J-Turritopsis-Women-Cotton-Embroidered-Button-Down-Shirt/40358664/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Style Quotient Women Smart Mandarin Collar Solid Cotton Formal Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/JANUARY/2/J7SHy4lq_bec62b20cbc74ce998e8e59194069246.jpg",Style Quotient,Apparel,Shirts,611,1199,49,4.3,4355,"S, M, L, XL",Beige,Regular Fit,Cotton,Short Sleeves,Solid,"Beige opaque formal shirt for women Mandarin collar Button placket Short, Puff sleeves Curved hemline Smart Regular Fit The model (height 5.8') is wearing a size S Cotton Machine Wash Wash care: Machine Wash",InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Style+Quotient/Style-Quotient-Women-Smart-Mandarin-Collar-Solid-Cotton-Formal-Shirt/32179900/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Roadster Striped Oversized Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/30256916/2024/9/18/25a3199a-83d7-460f-bde7-5c159e6eb4c81726637433682-Womens-Oversize-Long-Sleeve-Seersucker-Stripe-Shirt-23017266-1.jpg",Roadster,Apparel,Shirts,599,1799,67,4.4,19139,"XS, S, M, L, XL",White,Oversized,Cotton,Long Sleeves,Striped,"White vertical stripes striped opaque Casual shirt ,has a jewel collar, button placket, long drop-shoulder sleeves, curved hem Brand Fit: Fit: Oversized The model (height 5'8) is wearing a size S 100% Cotton Machine Wash Wash care: Machine Wash",InStock,FRACTAL INDUSTRIES LIMITED,https://www.myntra.com/Shirts/Roadster/Roadster-Striped-Oversized-Casual-Shirt/30256916/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Roadster Women White Cotton Solid Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/14615110/2021/9/10/c4351ed5-9b83-41da-b81e-05faae0a13051631265003631-Roadster-Women-Shirts-6201631265003003-1.jpg",Roadster,Apparel,Shirts,743,1899,61,4.2,6708,"XS, S, M, L, XL, XXL",White,Regular Fit,Cotton,Long Sleeves,Solid,"White solid casual shirt, has a spread collar, button placket, long regular sleeves, curved hem Brand Fit: Fit: Regular Fit The model (height 5'8) is wearing a size S Cotton Machine wash Wash care: Machine Wash",InStock,STREAMLINE APPARELS PRIVATE LIMITED,https://www.myntra.com/Shirts/Roadster/Roadster-Women-White--Cotton-Solid-Casual-Shirt/14615110/buy,2026-06-26T05:32:19.624356+00:00
Myntra,Lahaba Women Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/JUNE/2/J5s8y0jo_33a098b69a7643108cb24c4a4f0554f4.jpg",Lahaba,Apparel,Shirts,388,999,61,1.9,26,"XS, S, M, L, XL, XXL",White,Regular Fit,Cotton,Long Sleeves,Textured,"White Textured Opaque Casual shirts ,has a Spread Collar, Button Placket, Long Regular Sleeves, Curved hem Brand Fit: Fit: Regular Fit The model (height 5'8) is wearing a size S Style this classic White shirt with blue denim jeans and minimal gold accessories for a timeless casual look. You can also tuck it into tailored trousers or a skirt for a smart semi-formal outfit perfect for brunches, meetings, or casual evenings. Machine Wash Wash care: Machine Wash",InStock,A K GARMENTS,https://www.myntra.com/Shirts/Lahaba/Lahaba-Women-Casual-Shirt/42759940/buy,2026-06-26T05:32:19.624356+00:00
